district,transaction type,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,subsidiary building area,balcony area,elevator
大安區,房地(土地+建物),臺北市大安區仁愛路四段122巷61~90號,6.86,商,,,1090405,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720816,66.38,1,2,1,有,有,18560000,279602,,0,0,含增建或未登記建物。,RPVNMLOKOHPFFFA98DA,57.01,0,1.34,有
信義區,房地(土地+建物),臺北市信義區吳興街600巷100弄31~60號,24.64,住,,,1090501,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721007,99.85,3,2,2,有,無,9980000,99950,,0,0,含增建或未登記建物。,RPSPMLTJOHPFFDA09DA,80.96,0,4.96,無
松山區,房地(土地+建物),臺北市松山區復興北路361巷1~30號,22.02,住,,,1090505,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740817,129.13,3,2,2,有,有,33900000,262526,,0,0,,RPTOMLOJOHPFFDA58DA,108.06,0,13.08,有
信義區,建物,臺北市信義區松德路1~30號,0,,,,1090515,土地0建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800123,189.7,3,1,1,有,無,890000,4692,,0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLMJOHPFFDA58DA,157.82,0,18.7,有
松山區,房地(土地+建物),臺北市松山區民生東路五段211~240號,33.12,其他,,,1090422,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630702,89.32,4,3,2,有,無,17680000,197940,,0,0,含增建或未登記建物。,RPTQMLMJOHPFFDA58DA,89.32,0,0,無
中山區,房地(土地+建物)+車位,臺北市中山區朱崙街61~90號,39.19,住,,,1090516,土地1建物1車位3,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,970612,380.84,4,2,4,有,有,96000000,308620,坡道平面,102.18,10000000,含增建或未登記建物。;,RPSNMLNKOHPFFCA28DA,153.58,13.87,17.44,有
大安區,房地(土地+建物),臺北市大安區復興南路一段253巷1~30號,13.78,其他,,,1090429,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680115,150.67,3,1,1,有,有,30000000,199111,,0,0,,RPXNMLSJOHPFFFA76CA,117.4,0,16.24,有
大安區,房地(土地+建物),臺北市大安區信義路三段134巷61~90號,21.06,住,,,1090427,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750415,108.82,2,2,1,有,有,24280000,223121,,0,0,含增建或未登記建物。;,RPSNMLMJOHPFFFA28CA,75.83,0.55,10.27,有
文山區,房地(土地+建物),臺北市文山區育英街17巷5弄1~30號,38.25,住,,,1090504,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660404,106.64,5,2,2,有,無,23000000,215679,,0,0,含增建或未登記建物。,RPOOMLSJOHPFFAA18DA,91.96,14.68,0,無
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段181~210號,29.11,住,,,1090313,土地1建物1車位2,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000113,257.34,3,2,2,有,有,51480000,250823,坡道平面,72.02,5000000,,RPPNMLNKOHPFFAA77DA,116.41,10.28,6.18,有
士林區,房地(土地+建物),臺北市士林區延平北路五段241~270號,51.25,商,,,1090410,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,600108,156.1,4,2,2,有,無,14750000,94491,,0,0,,RPVNMLPJOHPFFEA78CA,156.1,0,0,無
士林區,房地(土地+建物),臺北市士林區承德路四段12巷1~30號,9.15,住,,,1090511,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670421,58.06,2,2,1,有,無,9700000,167069,,0,0,,RPOOMLPJOHPFFEA18CA,45.56,0,7.96,有
北投區,房地(土地+建物),臺北市北投區立農街二段202巷9弄1~30號,29.9,住,,,1090426,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700609,97.38,3,2,2,有,無,13100000,134525,,0,0,含增建或未登記建物。;,RPQOMLMJOHPFFEA08CA,88.37,0,9.01,無
士林區,房地(土地+建物)+車位,臺北市士林區至誠路二段31~60號,34.48,住,,,1090401,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710719,136.69,3,2,2,有,無,23000000,168264,坡道平面,25.13,0,含增建或未登記建物。;,RPPNMLMJOHPFFEA87CA,117.84,0,7.65,無
士林區,房地(土地+建物)+車位,臺北市士林區通河東街二段1~30號,39.27,住,,,1090405,土地3建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680607,226.81,4,2,2,有,有,21000000,92593,坡道平面,44.47,0,含增建或未登記建物。;,RPQNMLMJOHPFFEA97CA,190.05,0,20.22,有
士林區,房地(土地+建物)+車位,臺北市士林區劍潭路1~30號,10.47,住,,,1090429,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971226,105.68,1,1,1,有,有,19660000,186033,坡道平面,0,0,,RPUNMLMJOHPFFEA38CA,37.06,2.54,3.85,有
松山區,房地(土地+建物)+車位,臺北市松山區八德路二段391~420號,12.8,商,,,1090302,土地1建物1車位1,三層，四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950823,148.89,3,2,2,有,有,48800000,327759,坡道機械,0,0,,RPOPMLTLPHPFFDA88CA,78.66,5.81,5.62,有
南港區,房地(土地+建物)+車位,臺北市南港區忠孝東路六段121~150號,6.48,住,,,1090505,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000110,52.26,1,1,1,有,有,13120000,251004,塔式車位,2.07,0,,RPWOMLLKOHPFFDA58CA,24.48,0.47,6.33,有
松山區,房地(土地+建物),臺北市松山區三民路155巷1~30號,54.88,住,,,1090317,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,158.17,4,2,2,有,無,30000000,189669,,0,0,,RPSOMLMKOHPFFDA28CA,158.17,0,0,無
松山區,房地(土地+建物)+車位,臺北市松山區慶城街1~30號,57.93,住,,,1090522,土地1建物1車位2,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041105,415.11,5,2,3,有,有,144000000,346896,坡道平面,0,0,親友、員工或其他特殊關係間之交易。;,RPUQMLLJPHPFFDA58CA,177.15,15.52,18.93,有
中山區,房地(土地+建物),臺北市中山區長安東路二段151~180號,4.51,商,,,1090310,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720127,58.88,3,3,2,有,有,15000000,254755,,0,0,,RPXSMLOLOHPFFCA76CA,38.57,0,9.31,有
信義區,房地(土地+建物),臺北市信義區永吉路187巷4弄1~30號,29.63,住,,,1090411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661223,107.45,3,2,2,有,無,18580000,172918,,0,0,含增建或未登記建物。;,RPUNMLMJOHPFFDA28CA,97.89,0,9.56,無
大同區,房地(土地+建物),臺北市大同區雙連街61~90號,8.54,住,,,1090424,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,90.34,2,1,1,有,有,16500000,182643,,0,0,本買賣案件係屬二親等間特殊交易，其交易價格可能異於市場正常交易價格。,RPOOMLKLOHPFFBA57CA,49.57,2.77,4.86,有
萬華區,房地(土地+建物),臺北市萬華區環河南路一段31~60號,1.08,商,,,1090507,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,3.09,0,0,0,無,無,500000,161812,,0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLSKOHPFFBA09CA,3.06,0.03,0,無
大同區,房地(土地+建物),臺北市大同區敦煌路24巷1~30號,12.94,住,,,1090228,土地1建物1車位0,九層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1080516,62.65,1,1,1,有,有,14000000,223464,,0,0,,RPPOMLSKOHPFFBA38CA,31.16,3.39,4.05,有
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,4.57,商,,,1090403,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,75.59,2,1,1,有,有,13000000,193198,坡道機械,12.96,900000,,RPUNMLSJOHPFFBA68CA,35.45,2.61,3.75,有
萬華區,房地(土地+建物),臺北市萬華區東園街61~90號,22,商,,,1090407,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,81.15,3,1,1,有,無,10150000,125077,,0,0,,RPXPMLOJOHPFFBA78CA,81.15,0,0,無
中山區,房地(土地+建物),臺北市中山區新生北路一段31~60號,2.88,商,,,1090430,土地1建物1車位0,十層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,770613,28.87,1,0,1,有,有,5558888,192549,,0,0,含增建或未登記建物。;,RPPSMLLJOHPFFCA08CA,21.2,0.04,0,有
中山區,房地(土地+建物),臺北市中山區北安路458巷1~30號,20.5,商,,,1090402,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660425,71.68,1,1,1,有,無,12000000,167411,,0,0,含增建或未登記建物。;,RPROMLNJOHPFFCA08CA,67.9,0,3.78,無
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷112弄1~30號,23.29,住,,,1090426,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,920515,85.07,2,2,1,有,有,13180000,154931,升降機械,15.41,0,含增建或未登記建物。;,RPVOMLMJOHPFFCA38CA,44.07,0.96,5.78,有
中山區,房地(土地+建物)+車位,臺北市中山區中山北路一段83巷31~60號,17.6,商,,,1090426,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970314,183.04,3,2,2,有,有,36300000,198317,坡道平面,40.56,0,,RPOPMLMJOHPFFCA77CA,86.55,1.84,8.14,有
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街151~180號,44.2,住,,,1090429,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991130,204.37,3,2,2,有,有,37080000,181436,坡道平面,39.27,0,,RPTPMLMJOHPFFCA28CA,94.93,6.63,12.18,有
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,6.09,商,,,1090509,土地1建物1車位0,十四層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070718,70.33,1,1,1,有,有,15880000,225825,,0,0,含增建或未登記建物。;,RPTQMLMJOHPFFCA38CA,38.6,3.45,6.44,有
中山區,房地(土地+建物),臺北市中山區市民大道三段151~180號,14.79,住,,,1090421,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970125,77.84,3,2,2,有,有,12560000,161357,,0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLTJOHPFFCA09CA,49.44,3.95,2.19,有
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段60巷12弄61~90號,11.4,住,,,1090515,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830729,63.12,2,2,1,有,有,8500000,134664,坡道平面,0,0,,RPVNMLOJOHPFFCA48CA,53.74,0.21,4.12,有
中山區,房地(土地+建物),臺北市中山區吉林路361~390號,6.84,住,,,1090414,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,681219,45.02,1,1,1,有,有,7000000,155486,,0,0,含增建或未登記建物。;,RPPQMLPJOHPFFCA28CA,34.69,0,3.95,有
萬華區,房地(土地+建物),臺北市萬華區中華路一段61~90號,2.49,商,,,1090430,土地1建物1車位0,十一層,十四層,辦公商業大樓,住家用,鋼筋混凝土造,870604,27.99,0,0,0,無,有,5800000,207143,,0,0,,RPSNMLNJOHPFFBA97CA,15.51,1.03,3.77,有
文山區,房地(土地+建物),臺北市文山區興隆路二段203巷91~120號,30.33,住,,,1090322,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021223,127.38,3,2,2,有,有,18100000,142095,,0,0,含增建或未登記建物。;,RPSNMLLKOHPFFAA77CA,71.43,4.83,7.71,有
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段304巷1~30號,9.73,商,,,1090501,土地2建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871006,84.6,3,1,1,有,有,9400000,111111,坡道機械,26.65,0,,RPPNMLRJOHPFFAA97CA,0,0,0,有
文山區,房地(土地+建物),臺北市文山區羅斯福路五段211~240號,17.29,其他,,,1090416,土地3建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001117,110.66,2,1,2,有,有,23200000,209651,,0,0,陽台加窗權利人有二人,RPUNMLMKOHPFFAA08CA,68.13,0,8.45,有
中正區,房地(土地+建物),臺北市中正區師大路151~180號,11.5,住,,,1090507,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670117,111.6,3,2,3,有,無,17350000,155466,,0,0,,RPUPMLQKOHPFFAA68CA,91.69,0,11.43,有
中正區,房地(土地+建物),臺北市中正區延平南路179巷1弄1~30號,21.77,住,,,1090410,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700216,144.4,4,2,2,有,無,27500000,190443,,0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLOJOHPFFAA67CA,105.27,0,18.22,有
文山區,房地(土地+建物),臺北市文山區興隆路二段301巷1~30號,25.5,住,,,1090417,土地2建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610420,79.87,5,2,3,有,無,10300000,128960,,0,0,頂樓增建。,RPSNMLMJOHPFFAA77CA,79.87,0,0,無
文山區,房地(土地+建物),臺北市文山區羅斯福路五段121~150號,36.77,商,,,1090503,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760313,129.58,4,2,2,有,有,20770000,160287,,0,0,,RPXNMLMJOHPFFAA28CA,109.56,0,10.5,有
文山區,房地(土地+建物),臺北市文山區仙岩路16巷31~60號,28.59,住,,,1090426,土地3建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821221,81.03,2,2,1,有,有,10500000,129582,,0,0,含增建或未登記建物。;,RPUPMLMJOHPFFAA18CA,50.24,1.8,0,有
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段151~180號,25.08,商,,,1090503,土地1建物1車位2,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,981126,329.87,2,2,3,有,有,53600000,162488,坡道平面,68.04,0,含增建或未登記建物。;內含獨立產權公設，未包含在棟數內。,RPUNMLNJOHPFFAA08CA,163.52,2.14,17.83,有
文山區,房地(土地+建物),臺北市文山區忠順街一段41巷1~30號,41.36,住,,,1090503,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820330,122.33,3,2,2,有,有,18800000,153683,,0,0,,RPRNMLOJOHPFFAA87CA,85.18,0.49,8.62,有
文山區,房地(土地+建物),臺北市文山區興隆路一段181~210號,30.82,住,,,1090504,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630416,104.46,3,2,1,有,無,12800000,122535,,0,0,親友、員工或其他特殊關係間之交易。;姑嫂之間的買賣,RPQNMLPJOHPFFAA87CA,104.46,0,0,無
文山區,房地(土地+建物)+車位,臺北市文山區政大三街91~120號,125.37,住,,,1090420,土地1建物1車位2,三層，四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,981215,294.84,3,2,3,有,有,40880000,138651,坡道平面,65.6,0,含增建或未登記建物。;,RPVNMLTKOHPFFAA88CA,152.27,2.8,10.44,無
