district,transaction type,land shifting total area,transaction year,num_building,num_land,num_garage,total floor number,building state,main building materials,construction to complete the years,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd,complete year
Wenshan District,Land+Building,1261.3,108,1,3,0,1.0,House,Reinforced Concrete,,245.48,0,0,0,0,No carpark,0.0,0,245.48,0.0,0.0,0,523060000,2130764,
ZhongZheng District,Land+Building,36.0,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,76.0,142.01,3,2,1,0,No carpark,0.0,0,106.57,4.81,16.47,0,18500000,130273,76.0
ZhongZheng District,Land+Building,19.39,109,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,102.0,84.97,2,1,1,0,No carpark,0.0,0,50.17,0.0,5.05,1,21580000,253972,102.0
ZhongZheng District,Land+Building,10.66,109,1,1,0,5.0,Apartment_5storey,Strengthened Brickwork,,34.63,0,1,1,0,No carpark,0.0,0,33.0,1.63,0.0,0,10400000,300318,
ZhongZheng District,Land+Building,45.0,109,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,58.0,99.86,3,2,1,0,No carpark,0.0,0,99.86,0.0,0.0,0,35800000,358502,58.0
Wanhua District,Land+Building,48.5,109,2,1,0,4.0,Apartment_5storey,Strengthened Brickwork,60.0,124.36,0,1,1,0,No carpark,0.0,0,124.36,0.0,0.0,0,11000000,88453,60.0
Wanhua District,Land+Building+Garage,4.46,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,97.18,1,1,1,1,Ramp Plane,37.02,2800000,33.95,3.15,3.22,1,14750000,198637,108.0
Wanhua District,Land+Building+Garage,4.57,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,75.59,2,1,1,1,Ramp Machinery,12.96,900000,35.45,2.61,3.75,1,13000000,193198,108.0
Wanhua District,Land+Building+Garage,6.66,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,105.79,2,1,1,1,Ramp Machinery,13.95,1350000,49.25,4.0,8.25,1,17350000,174216,108.0
Wanhua District,Land+Building,22.05,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,76.0,104.73,3,2,1,1,No carpark,0.0,0,70.63,0.0,10.72,1,15800000,150864,76.0
Neihu District,Land+Building,10.64,109,1,1,0,16.0,Apartment_11storeyorgreater,Reinforced Concrete,78.0,115.66,3,2,1,1,No carpark,0.0,0,101.32,0.0,7.72,1,22080000,190904,78.0
Zhongshan District,Land+Building,4.25,109,1,3,0,13.0,Apartment_11storeyorgreater,Reinforced Concrete,73.0,48.0,2,1,1,1,No carpark,0.0,0,37.02,0.0,3.23,1,8050000,167708,73.0
Neihu District,Land+Building+Garage,31.62,109,1,1,2,19.0,Apartment_11storeyorgreater,Reinforced Concrete,106.0,257.68,3,2,1,1,Ramp Plane,55.2,0,110.6,10.2,12.7,1,43380000,168348,106.0
Neihu District,Land+Building+Garage,10.9,109,1,1,1,9.0,Apartment_5to10storey,Reinforced Concrete,98.0,75.52,1,1,1,1,Lifting Plane,8.1,0,38.1,1.62,3.84,1,12800000,169492,98.0
Zhongshan District,Land+Building,3.82,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,70.0,37.81,1,1,1,1,No carpark,0.0,0,26.51,0.0,0.0,1,5600000,148109,70.0
Songshan District,Land+Building,28.8,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,71.0,121.07,3,2,1,0,No carpark,0.0,0,79.41,0.0,25.07,0,23100000,190799,71.0
Xinyi District,Land+Building,15.66,109,1,1,0,6.0,Apartment_5to10storey,Reinforced Concrete,99.0,67.94,1,1,1,1,No carpark,0.0,0,37.67,2.72,3.85,1,18980000,279364,99.0
Xinyi District,Land+Building,9.11,109,1,4,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,69.0,107.84,2,2,1,1,No carpark,0.0,0,90.43,0.0,5.59,1,22000000,204006,69.0
Nangang District,Land+Building,55.76,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,101.0,343.1,0,0,0,1,No carpark,0.0,0,178.91,10.1,20.02,1,69540000,202681,101.0
Songshan District,Land+Building,4.69,109,1,1,0,18.0,Apartment_11storeyorgreater,Reinforced Concrete,98.0,58.73,1,1,1,1,No carpark,0.0,0,33.15,1.46,4.09,1,14500000,246893,98.0
Xinyi District,Land+Building,9.28,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,80.0,97.84,2,1,1,1,No carpark,0.0,0,76.88,0.0,7.38,1,19360000,197874,80.0
Xinyi District,Land+Building,33.76,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,,102.79,3,3,1,0,No carpark,0.0,0,86.03,0.0,15.18,0,17000000,165386,
Nangang District,Land+Building,31.1,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,75.0,115.55,3,2,1,0,No carpark,0.0,0,96.22,0.0,9.23,0,12380000,107140,75.0
Nangang District,Land+Building+Garage,24.45,109,1,1,1,10.0,Apartment_5to10storey,Reinforced Concrete,96.0,110.91,2,1,1,1,Ramp Machinery,0.0,0,60.67,2.62,6.16,1,20080000,181048,96.0
Beitou District,Land+Building,27.33,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,77.0,98.14,3,2,1,0,No carpark,0.0,0,74.62,4.92,9.38,0,13800000,140615,77.0
Shilin District,Land+Building,39.94,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,69.0,121.87,3,2,1,0,No carpark,0.0,0,105.99,0.0,15.88,0,17800000,146057,69.0
Beitou District,Land+Building+Garage,21.9,109,1,1,1,18.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,188.35,3,2,1,1,Ramp Plane,0.0,2000000,89.84,3.27,4.76,1,30000000,159278,108.0
Shilin District,Land+Building+Garage,18.09,109,1,1,1,8.0,Apartment_5to10storey,Reinforced Concrete,109.0,91.04,0,0,0,1,Lifting Plane,19.49,1500000,35.64,4.0,5.0,1,20080000,259679,109.0
Beitou District,Land+Building,44.0,109,1,2,0,2.0,Apartment_5storey,Strengthened Brickwork,61.0,59.68,2,1,1,0,No carpark,0.0,0,59.68,0.0,0.0,0,8660000,145107,61.0
Shilin District,Land+Building,23.0,109,1,3,0,5.0,Apartment_5storey,Reinforced Concrete,68.0,94.04,3,1,1,0,No carpark,0.0,0,75.43,0.0,11.15,0,13200000,140366,68.0
Shilin District,Land+Building,14.08,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,59.0,42.8,3,1,1,0,No carpark,0.0,0,39.6,1.85,1.35,0,5320000,124299,59.0
Shilin District,Land+Building+Garage,26.2,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,106.0,116.03,2,1,1,1,Lifting Plane,14.99,1900000,60.39,5.0,3.97,1,29500000,273159,106.0
Shilin District,Land+Building,28.95,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,74.0,107.77,3,2,1,0,No carpark,0.0,0,95.93,0.0,8.63,0,14100000,130834,74.0
Shilin District,Land+Building,22.0,109,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,59.0,57.48,2,1,1,0,No carpark,0.0,0,57.48,0.0,0.0,0,6880000,119694,59.0
Beitou District,Land+Building+Garage,12.11,109,1,1,1,23.0,Apartment_11storeyorgreater,Steel Reinforced Concrete,96.0,156.57,3,2,1,1,Ramp Plane,0.0,0,71.82,3.0,4.54,1,25180000,160823,96.0
Shilin District,Land+Building,11.07,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,74.0,61.36,3,2,1,1,No carpark,0.0,0,49.85,0.0,7.7,1,5000000,81486,74.0
Daan District,Land+Building,45.5,109,1,2,0,4.0,Apartment_5storey,Strengthened Brickwork,55.0,98.19,3,1,1,0,No carpark,0.0,0,84.84,0.0,13.35,0,22650000,230675,55.0
Daan District,Land+Building,20.14,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,112.89,3,2,1,0,No carpark,0.0,0,82.95,0.0,15.82,1,28500000,252458,
Daan District,Land+Building,44.43,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,214.05,4,3,1,1,No carpark,0.0,0,214.05,0.0,0.0,1,45880000,214342,
Wenshan District,Land+Building,19.48,109,2,1,0,10.0,Apartment_5to10storey,Reinforced Concrete,84.0,80.73,3,1,1,1,No carpark,0.0,0,48.98,0.77,7.08,1,13600000,168463,84.0
Wenshan District,Land+Building+Garage,32.03,109,1,3,1,5.0,Apartment_5storey,Reinforced Concrete,85.0,108.82,3,2,1,1,Lifting Machinery,0.0,1500000,63.9,1.97,8.14,0,13380000,122944,85.0
Wenshan District,Land+Building,29.0,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,86.33,3,1,1,0,No carpark,0.0,0,86.33,0.0,0.0,0,9000000,104251,
Wanhua District,Land+Building+Garage,6.66,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,104.81,2,1,1,1,Ramp Machinery,12.96,900000,49.25,4.0,8.25,1,17700000,182907,108.0
ZhongZheng District,Land+Building+Garage,4.97,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,97.0,39.32,1,1,1,1,Lifting Plane,14.41,1500000,12.53,0.99,2.46,1,9900000,337214,97.0
Wanhua District,Land+Building,9.64,109,1,1,0,22.0,Apartment_11storeyorgreater,Steel Reinforced Concrete,86.0,118.63,3,2,1,1,No carpark,0.0,0,72.99,4.7,9.06,1,20200000,170277,86.0
Datong District,Land+Building,19.8,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,66.0,79.61,3,1,1,0,No carpark,0.0,0,64.19,0.0,15.42,0,9660000,121342,66.0
Zhongshan District,Land+Building+Garage,5.94,109,2,1,1,12.0,Apartment_11storeyorgreater,Reinforced Concrete,93.0,72.94,3,2,1,1,Tower,13.84,750000,35.22,2.07,0.0,1,11700000,185279,93.0
Zhongshan District,Land+Building,3.38,109,1,3,0,13.0,Apartment_11storeyorgreater,Reinforced Concrete,73.0,37.86,1,1,1,1,No carpark,0.0,0,25.83,0.0,4.4,1,5000000,132066,73.0
Neihu District,Land+Building+Garage,21.21,109,1,1,1,13.0,Apartment_11storeyorgreater,Reinforced Concrete,85.0,139.08,3,2,1,1,Ramp Plane,0.0,0,68.62,8.2,7.49,1,23000000,165372,85.0
Zhongshan District,Land+Building+Garage,7.8,109,1,1,1,18.0,Apartment_11storeyorgreater,Other,108.0,120.35,2,2,1,1,Ramp Plane,0.0,3700000,52.57,3.84,4.62,1,34400000,285833,108.0
Zhongshan District,Land+Building,4.84,109,1,2,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,71.0,50.45,1,1,1,1,No carpark,0.0,0,34.87,0.0,7.16,1,8100000,160555,71.0
Zhongshan District,Land+Building,2.42,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,70.0,22.35,1,1,1,1,No carpark,0.0,0,17.55,0.0,0.0,1,4000000,178971,70.0
Zhongshan District,Land+Building+Garage,125.88,109,1,1,4,11.0,Apartment_11storeyorgreater,Other,103.0,598.0,0,0,0,1,Ramp Plane,156.78,12000000,262.29,9.7,33.83,1,240000000,516749,103.0
Zhongshan District,Land+Building,3.01,109,1,1,0,8.0,Apartment_5to10storey,Reinforced Concrete,66.0,24.76,1,1,1,1,No carpark,0.0,0,18.02,0.0,0.0,1,3580000,144588,66.0
Songshan District,Land+Building,35.75,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,94.31,2,2,1,0,No carpark,0.0,0,94.32,0.0,0.0,0,16000000,169653,
Xinyi District,Land+Building+Garage,39.33,109,1,1,1,13.0,Apartment_11storeyorgreater,Reinforced Concrete,97.0,217.13,2,2,1,1,Ramp Plane,0.0,0,102.85,4.3,10.14,1,30000000,138166,97.0
Songshan District,Land+Building,67.75,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,59.0,119.55,3,1,1,0,No carpark,0.0,0,119.55,0.0,0.0,0,28800000,240903,59.0
Songshan District,Land+Building,31.71,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,147.17,4,2,1,0,No carpark,0.0,0,125.9,0.0,21.27,1,34700000,235782,
Songshan District,Land+Building,9.69,109,1,1,0,11.0,Apartment_11storeyorgreater,Reinforced Concrete,60.0,105.28,3,2,1,1,No carpark,0.0,0,105.28,0.0,0.0,1,24000000,227964,60.0
Xinyi District,Land+Building,23.0,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,65.1,3,1,1,0,No carpark,0.0,0,65.1,0.0,0.0,0,12300000,188940,
Songshan District,Land+Building,5.95,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,76.0,34.77,1,1,1,1,No carpark,0.0,0,13.68,0.0,4.6,1,7930000,228070,76.0
Songshan District,Land+Building,28.97,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,69.0,144.22,3,2,1,1,No carpark,0.0,0,114.98,0.0,13.86,1,20000000,138677,69.0
Xinyi District,Land+Building,24.66,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,81.0,117.1,3,2,1,0,No carpark,0.0,0,83.17,10.84,0.0,0,18700000,159693,81.0
Xinyi District,Land+Building,27.75,109,1,2,0,4.0,Apartment_5storey,Reinforced Concrete,,68.88,2,1,1,0,No carpark,0.0,0,68.88,0.0,0.0,0,14500000,210511,
Nangang District,Land+Building,21.25,109,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,,77.0,3,1,1,0,No carpark,0.0,0,77.0,0.0,0.0,0,8380000,108831,
Nangang District,Land+Building,29.23,109,1,3,0,5.0,Apartment_5storey,Reinforced Concrete,74.0,97.14,3,2,1,0,No carpark,0.0,0,80.46,0.0,7.99,0,12050000,124048,74.0
Xinyi District,Land+Building,8.08,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,73.0,77.33,2,1,1,1,No carpark,0.0,0,57.07,0.0,6.79,1,18200000,235355,73.0
Shilin District,Land+Building,24.02,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,77.0,120.86,3,2,1,1,No carpark,0.0,0,93.96,11.59,0.0,0,19800000,163826,77.0
Beitou District,Land+Building,48.17,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,64.0,126.94,6,2,1,0,No carpark,0.0,0,126.94,0.0,0.0,0,8000000,63022,64.0
Shilin District,Land+Building,33.25,109,1,3,0,5.0,Apartment_5storey,Reinforced Concrete,76.0,122.9,3,2,1,0,No carpark,0.0,0,102.16,1.66,9.1,0,17880000,145472,76.0
Shilin District,Land+Building+Garage,29.76,109,2,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,78.0,173.01,3,2,1,1,Ramp Plane,14.95,2800000,89.46,4.78,15.86,1,27800000,158168,78.0
Beitou District,Land+Building,33.5,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,65.0,109.6,3,2,1,0,No carpark,0.0,0,109.6,0.0,0.0,0,13600000,124088,65.0
Shilin District,Land+Building,24.65,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,69.0,85.87,4,1,1,0,No carpark,0.0,0,67.34,5.88,7.55,0,8860000,103179,69.0
Beitou District,Land+Building+Garage,42.74,107,1,1,1,12.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,219.97,3,2,1,1,Ramp Plane,38.53,1800000,109.7,7.06,13.82,1,33712000,175882,109.0
Daan District,Land+Building,17.86,109,1,1,0,15.0,Apartment_11storeyorgreater,Reinforced Concrete,68.0,169.31,3,2,1,1,No carpark,0.0,0,128.87,0.0,18.35,1,40980000,242041,68.0
Daan District,Land+Building+Garage,26.99,109,1,1,1,8.0,Apartment_5to10storey,Reinforced Concrete,108.0,176.35,3,2,1,1,other,30.96,3400000,80.72,6.05,5.13,1,59120000,383245,108.0
Daan District,Land+Building,36.67,109,1,1,0,3.0,Apartment_5storey,Strengthened Brickwork,54.0,74.73,4,1,1,0,No carpark,0.0,0,64.77,0.0,9.96,0,16660000,222936,54.0
Daan District,Land+Building,19.39,109,1,1,0,19.0,Apartment_11storeyorgreater,Reinforced Concrete,74.0,101.08,3,1,1,1,No carpark,0.0,0,68.77,1.56,4.72,1,22000000,217649,74.0
Daan District,Land+Building,36.68,109,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,,160.31,5,2,1,1,No carpark,0.0,0,144.81,0.0,0.0,1,38800000,242031,
Daan District,Land+Building,16.62,109,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,,117.38,3,2,1,1,No carpark,0.0,0,96.96,0.0,9.47,1,21750000,185296,
Beitou District,Land+Building+Garage,44.63,105,1,1,2,12.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,259.4,3,2,1,1,Ramp Plane,77.06,3600000,108.4,13.21,9.67,1,35421800,174519,109.0
Beitou District,Land+Building+Garage,42.96,106,1,1,1,12.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,220.87,3,2,1,1,Ramp Plane,38.53,2000000,108.39,13.2,9.66,1,34922000,180553,109.0
Beitou District,Land+Building+Garage,44.41,106,1,1,2,12.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,258.5,3,2,1,1,Ramp Plane,77.06,4000000,109.71,7.05,13.83,1,37575220,185049,109.0
Shilin District,Land+Building,11.67,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,59.0,35.6,1,1,1,1,No carpark,0.0,0,32.4,1.85,1.35,0,4800000,134831,59.0
Shilin District,Land+Building,11.53,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,71.0,39.98,3,2,1,0,No carpark,0.0,0,36.18,0.0,3.8,0,4000000,100050,71.0
Shilin District,Land+Building,20.15,109,1,2,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,74.0,144.52,5,5,1,1,No carpark,0.0,0,104.96,0.0,14.77,1,19150000,132508,74.0
Songshan District,Land+Building,39.0,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,60.0,83.1,3,1,1,0,No carpark,0.0,0,77.38,0.0,5.72,0,17100000,205776,60.0
Xinyi District,Land+Building,10.95,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,72.0,53.11,2,2,1,1,No carpark,0.0,0,41.22,4.03,2.88,1,4000000,75301,72.0
Xinyi District,Land+Building,31.06,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,86.77,3,1,1,0,No carpark,0.0,0,80.3,6.47,0.0,0,13800000,159041,
Songshan District,Land+Building,25.39,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,72.0,152.63,4,2,1,1,No carpark,0.0,0,114.83,0.0,18.47,1,32320000,211754,72.0
Xinyi District,Land+Building,11.82,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,82.0,75.81,2,2,1,1,No carpark,0.0,0,45.41,2.31,5.99,1,14500000,191268,82.0
Zhongshan District,Land+Building,9.48,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,70.0,45.38,2,1,1,1,No carpark,0.0,0,30.98,0.0,4.29,1,8600000,189511,70.0
Neihu District,Land+Building,30.44,109,1,1,0,5.0,Apartment_5to10storey,Reinforced Concrete,108.0,59.12,1,1,1,1,No carpark,0.0,0,31.28,0.0,4.86,1,12980000,219553,108.0
Neihu District,Land+Building+Garage,22.8,109,1,1,1,5.0,Apartment_5to10storey,Reinforced Concrete,108.0,46.62,1,1,1,1,Tower,2.51,1450000,23.42,0.0,3.54,1,11580000,229653,108.0
Neihu District,Land+Building,21.81,109,1,1,0,5.0,Apartment_5to10storey,Reinforced Concrete,108.0,42.33,1,1,1,1,No carpark,0.0,0,23.02,2.88,0.0,1,8660000,204583,108.0
Neihu District,Land+Building,23.04,109,1,1,0,5.0,Apartment_5to10storey,Reinforced Concrete,108.0,44.73,1,1,1,1,No carpark,0.0,0,27.34,0.0,0.0,1,10380000,232059,108.0
Neihu District,Land+Building,22.05,109,1,1,0,5.0,Apartment_5to10storey,Reinforced Concrete,108.0,42.77,1,1,1,1,No carpark,0.0,0,23.26,2.88,0.0,1,9660000,225859,108.0
Zhongshan District,Land+Building+Garage,12.14,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,97.0,71.7,2,1,1,1,Lifting Plane,15.68,1500000,27.7,1.93,2.45,1,12240000,191717,97.0
Neihu District,Land+Building+Garage,43.78,109,1,1,2,14.0,Apartment_11storeyorgreater,Reinforced Concrete,97.0,277.65,4,2,1,1,Ramp Plane,27.6,5000000,117.31,3.01,11.89,1,39000000,135973,97.0
Zhongshan District,Land+Building,3.62,109,1,1,0,11.0,Apartment_11storeyorgreater,Reinforced Concrete,65.0,67.79,2,1,1,1,No carpark,0.0,0,46.96,0.0,6.2,1,10000000,147514,65.0
Neihu District,Land+Building+Garage,15.19,109,1,1,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,96.0,175.87,3,2,1,1,Ramp Plane,34.12,3000000,88.37,3.31,9.76,1,40300000,263139,96.0
Zhongshan District,Land+Building,20.16,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,103.0,83.48,2,1,1,1,No carpark,0.0,0,47.42,4.87,3.3,1,19200000,229995,103.0
Zhongshan District,Land+Building,6.0,109,1,1,0,7.0,Apartment_5storey,Reinforced Concrete,74.0,33.62,1,1,1,0,No carpark,0.0,0,23.34,1.19,2.73,0,4990000,148424,74.0
Neihu District,Land+Building,17.43,109,1,1,0,20.0,Apartment_11storeyorgreater,Reinforced Concrete,83.0,80.1,2,1,1,1,No carpark,0.0,0,62.14,1.12,7.75,1,14150000,176654,83.0
Datong District,Land+Building+Garage,10.61,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,96.0,73.78,2,1,1,1,Lifting Plane,0.0,0,40.81,1.56,0.0,1,13900000,188398,96.0
Wanhua District,Land+Building,5.02,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,64.0,12.47,1,1,1,0,No carpark,0.0,0,12.47,0.0,0.0,0,2100000,168404,64.0
Wanhua District,Land+Building,24.0,109,1,1,0,3.0,House,Brickwork,,59.4,1,2,1,0,No carpark,0.0,0,59.4,0.0,0.0,0,9170000,154377,
Datong District,Land+Building,24.99,109,1,2,0,4.0,Apartment_5to10storey,Reinforced Concrete,65.0,57.43,2,2,1,1,No carpark,0.0,0,44.48,0.0,0.0,1,6700000,116664,65.0
Wenshan District,Land+Building,27.78,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,70.0,102.99,2,2,1,0,No carpark,0.0,0,79.48,0.0,12.86,0,13600000,132052,70.0
Wenshan District,Land+Building,33.31,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,72.0,105.64,3,2,1,1,No carpark,0.0,0,90.84,0.0,14.8,0,11200000,106020,72.0
Wenshan District,Land+Building+Garage,33.65,109,1,1,1,5.0,Apartment_5to10storey,Reinforced Concrete,95.0,155.98,3,2,1,1,Lifting Plane,24.06,1500000,76.16,8.36,8.06,1,20500000,144027,95.0
Wenshan District,Land+Building+Garage,35.61,109,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,99.0,180.18,3,2,1,1,Ramp Plane,0.0,0,96.26,0.0,11.11,1,26800000,148740,99.0
Daan District,Land+Building+Garage,38.95,109,1,2,2,23.0,Apartment_11storeyorgreater,Other,105.0,374.35,0,0,0,1,Ramp Plane,49.6,6600000,188.9,12.23,23.42,1,120900000,351963,105.0
Shilin District,Land+Building+Garage,26.57,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,84.0,96.03,3,1,1,1,Ramp Machinery,0.0,0,54.19,0.93,7.79,1,8500000,88514,84.0
Beitou District,Land+Building,28.66,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,68.0,93.03,2,2,1,0,No carpark,0.0,0,82.85,0.0,10.18,0,9500000,102118,68.0
Shilin District,Land+Building,26.0,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,67.0,88.27,3,2,1,0,No carpark,0.0,0,77.06,0.0,11.21,0,17180000,194630,67.0
Beitou District,Land+Building,18.71,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,68.0,73.44,3,1,1,0,No carpark,0.0,0,61.04,0.0,12.4,0,7670000,104439,68.0
Beitou District,Land+Building,9.35,109,1,1,0,11.0,Apartment_11storeyorgreater,Reinforced Concrete,78.0,60.82,1,1,1,1,No carpark,0.0,0,33.14,0.0,6.68,1,5520000,90775,78.0
Shilin District,Land+Building,29.1,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,67.0,97.49,3,2,1,0,No carpark,0.0,0,83.93,0.0,13.56,0,16400000,168222,67.0
Shilin District,Land+Building,31.16,109,1,3,0,5.0,Apartment_5storey,Reinforced Concrete,67.0,99.43,3,1,1,0,No carpark,0.0,0,84.94,0.0,14.5,0,12880000,129538,67.0
Beitou District,Land+Building,27.72,109,1,4,0,7.0,Apartment_5to10storey,Reinforced Concrete,86.0,140.09,3,2,1,1,No carpark,0.0,0,90.75,0.41,17.47,1,16380000,116925,86.0
Shilin District,Land+Building,12.35,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,71.0,61.32,1,1,1,1,No carpark,0.0,0,48.38,0.0,6.69,1,14200000,231572,71.0
Beitou District,Land+Building+Garage,40.04,109,1,1,2,12.0,Apartment_11storeyorgreater,Reinforced Concrete,98.0,300.35,2,2,1,1,Ramp Plane,0.0,0,140.51,10.16,14.77,1,70500000,234726,98.0
Shilin District,Land+Building,49.16,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,78.0,128.15,0,1,1,0,No carpark,0.0,0,104.94,0.56,9.88,0,13800000,107686,78.0
Shilin District,Land+Building,51.25,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,66.0,105.85,3,2,1,0,No carpark,0.0,0,95.93,0.0,9.92,0,8650000,81719,66.0
Shilin District,Land+Building+Garage,27.69,109,1,1,1,15.0,Apartment_11storeyorgreater,Reinforced Concrete,105.0,231.87,3,2,1,1,Ramp Plane,36.76,2200000,123.86,7.12,9.42,1,45000000,219363,105.0
Nangang District,Land+Building+Garage,26.06,109,1,1,1,13.0,Apartment_11storeyorgreater,Reinforced Concrete,101.0,229.2,3,2,1,1,Ramp Plane,35.92,2500000,101.61,12.37,16.52,1,42500000,206954,101.0
Songshan District,Land+Building,21.26,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,70.0,107.12,3,2,1,1,No carpark,0.0,0,83.41,0.0,13.56,1,16282435,152016,70.0
Nangang District,Land+Building,37.91,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,,128.97,5,4,1,0,No carpark,0.0,0,100.53,0.0,28.44,0,16200000,125611,
Nangang District,Land+Building+Garage,79.18,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,98.0,218.08,4,2,1,1,Ramp Plane,40.14,0,103.21,12.04,8.8,1,33600000,154072,98.0
Nangang District,Land+Building,26.0,109,1,8,0,4.0,Apartment_5storey,Reinforced Concrete,,69.04,3,1,1,0,No carpark,0.0,0,57.26,0.0,11.78,0,11690000,169322,
Xinyi District,Land+Building,35.25,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,101.22,3,1,1,0,No carpark,0.0,0,101.22,0.0,0.0,0,17260000,170520,
Songshan District,Land+Building,24.13,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,72.0,141.53,3,2,1,0,No carpark,0.0,0,106.63,0.0,22.22,1,36500000,257896,72.0
Xinyi District,Land+Building,21.25,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,,104.7,3,1,1,0,No carpark,0.0,0,90.3,0.0,14.4,0,18120000,173066,
