district,transaction type,land shifting total area,transaction year,num_building,num_land,num_garage,total floor number,building state,main building materials,construction to complete the years,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd,complete year
Nangang District,Land+Building,22.67,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,76.0,92.42,3,2,1,0,No carpark,0.0,0,76.67,0.0,5.32,0,15300000,165549,76.0
Nangang District,Land+Building+Garage,30.98,109,1,1,1,9.0,Apartment_5to10storey,Reinforced Concrete,94.0,149.88,3,2,1,1,Ramp Plane,44.14,0,65.14,2.88,7.25,1,26500000,176808,94.0
Songshan District,Land+Building,6.54,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,61.0,17.7,3,2,1,0,No carpark,0.0,0,17.7,0.0,0.0,0,2095327,118380,61.0
Songshan District,Land+Building,39.21,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,61.0,106.2,3,2,1,0,No carpark,0.0,0,106.2,0.0,0.0,0,12571971,118380,61.0
Daan District,Land+Building,28.62,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,141.55,4,2,1,1,No carpark,0.0,0,121.51,0.0,14.88,1,38580000,272554,
Daan District,Land+Building,17.59,109,1,3,0,7.0,Apartment_5to10storey,Reinforced Concrete,66.0,102.94,3,2,1,0,No carpark,0.0,0,78.21,16.34,8.39,1,28650000,278317,66.0
Daan District,Land+Building,14.71,109,1,1,0,15.0,Apartment_11storeyorgreater,Reinforced Concrete,,134.12,0,0,0,1,No carpark,0.0,0,106.14,0.0,9.76,1,34080000,254101,
Daan District,Land+Building+Garage,20.78,109,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,,246.71,5,3,1,1,Ramp Plane,47.28,0,246.71,0.0,0.0,1,20500000,83094,
Daan District,Land+Building,31.57,109,1,1,0,7.0,Apartment_5storey,Reinforced Concrete,69.0,153.69,3,2,1,0,No carpark,0.0,0,113.11,0.58,23.24,0,30000000,195198,69.0
Daan District,Land+Building,4.4,109,1,2,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,,44.05,2,2,1,1,No carpark,0.0,0,38.85,0.0,5.2,1,12860000,291941,
Xinyi District,Land+Building,24.17,109,1,5,0,8.0,Apartment_5to10storey,Reinforced Concrete,72.0,132.51,4,2,1,0,No carpark,0.0,0,96.87,0.0,21.55,1,9300000,70183,72.0
Nangang District,Land+Building,12.17,109,1,1,0,8.0,Apartment_5to10storey,Reinforced Concrete,86.0,77.75,2,1,1,1,No carpark,0.0,0,40.4,16.55,7.95,1,19600000,252090,86.0
Xinyi District,Land+Building,40.0,109,1,1,0,3.0,House,Reinforced Concrete,79.0,109.74,3,3,1,0,No carpark,0.0,0,109.74,0.0,0.0,0,24200000,220521,79.0
Xinyi District,Land+Building,28.73,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,133.18,3,2,1,0,No carpark,0.0,0,110.48,0.0,22.7,1,37500000,281574,
Nangang District,Land+Building,12.13,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,97.0,50.44,1,1,1,1,No carpark,0.0,0,28.07,1.57,3.11,1,12100000,239889,97.0
Xinyi District,Land+Building,18.8,109,1,1,0,9.0,Apartment_5to10storey,Reinforced Concrete,99.0,83.09,2,2,1,1,No carpark,0.0,0,45.5,4.45,5.85,1,30580000,368035,99.0
Beitou District,Land+Building,5.07,109,1,1,0,19.0,Apartment_11storeyorgreater,Reinforced Concrete,87.0,45.33,0,0,0,1,No carpark,0.0,0,33.32,1.78,3.81,1,5900000,130157,87.0
Beitou District,Land+Building,23.5,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,64.0,87.58,3,2,1,0,No carpark,0.0,0,87.58,0.0,0.0,0,10200000,116465,64.0
Beitou District,Land+Building,16.9,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,83.0,66.44,2,1,1,1,No carpark,0.0,0,48.18,0.79,5.37,1,14400000,216737,83.0
Zhongshan District,Land+Building+Garage,22.67,109,1,2,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,99.0,202.69,3,2,1,1,Ramp Plane,0.0,3500000,99.86,1.55,9.68,1,51000000,251616,99.0
Zhongshan District,Land+Building+Garage,19.6,109,1,1,1,18.0,Apartment_11storeyorgreater,Other,108.0,260.78,3,3,1,1,Ramp Plane,29.77,3800000,131.03,10.77,14.2,1,89800000,372278,108.0
Neihu District,Land+Building,237.0,109,1,1,0,2.0,House,Reinforced Concrete,61.0,163.89,5,4,1,1,No carpark,0.0,0,163.89,0.0,0.0,0,63880000,389774,61.0
Neihu District,Land+Building,32.75,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,70.0,113.91,2,2,1,0,No carpark,0.0,0,96.19,17.72,0.0,0,18000000,158019,70.0
Zhongshan District,Land+Building,8.61,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,72.0,93.6,3,1,1,1,No carpark,0.0,0,62.44,0.0,16.51,1,18990000,202885,72.0
Neihu District,Land+Building,26.72,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,69.0,100.21,3,2,1,0,No carpark,0.0,0,82.39,0.0,17.82,0,15000000,149686,69.0
Zhongshan District,Land+Building,31.8,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,70.0,105.0,4,4,1,0,No carpark,0.0,0,94.9,0.0,10.1,0,15450000,147143,70.0
Neihu District,Land+Building,17.48,109,1,3,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,85.0,100.99,1,1,1,0,No carpark,0.0,0,65.96,2.26,10.5,1,19850000,196554,85.0
Datong District,Land+Building,18.25,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,62.0,51.26,2,1,1,0,No carpark,0.0,0,51.26,0.0,0.0,0,7200000,140460,62.0
Wenshan District,Land+Building+Garage,37.67,109,1,1,1,7.0,Apartment_5to10storey,Reinforced Concrete,82.0,158.18,3,2,1,1,Ramp Plane,0.0,0,93.55,2.43,10.95,1,18900000,119484,82.0
Wenshan District,Land+Building,39.25,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,61.0,113.76,3,2,1,0,No carpark,0.0,0,113.76,0.0,0.0,0,15500000,136252,61.0
ZhongZheng District,Land+Building+Garage,45.62,109,1,2,5,19.0,Apartment_11storeyorgreater,Other,102.0,587.65,0,0,0,1,Ramp Plane,190.2,10000000,231.68,5.17,28.29,1,111800000,256133,102.0
Wenshan District,Land+Building+Garage,19.92,109,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,87.0,134.29,3,2,1,1,Ramp Machinery,22.1,1500000,75.97,0.0,11.23,1,19900000,164007,87.0
Shilin District,Land+Building+Garage,36.35,109,1,1,2,14.0,Apartment_11storeyorgreater,Reinforced Concrete,94.0,234.76,4,2,1,1,Ramp Plane,0.0,6000000,107.84,0.59,10.05,1,44100000,187843,94.0
Shilin District,Land+Building,33.65,109,2,1,0,5.0,Apartment_5storey,Reinforced Concrete,73.0,187.49,5,2,1,0,No carpark,0.0,0,159.11,11.85,0.0,0,32400000,172809,73.0
Beitou District,Land+Building,29.53,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,66.0,106.31,4,2,1,0,No carpark,0.0,0,89.84,0.0,16.47,0,10080000,94817,66.0
Beitou District,Land+Building,29.64,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,72.0,97.06,3,1,1,0,No carpark,0.0,0,79.77,0.0,10.57,0,14680000,151247,72.0
Shilin District,Land+Building,15.73,109,1,1,0,9.0,Apartment_5to10storey,Reinforced Concrete,108.0,63.41,1,1,1,1,No carpark,0.0,0,33.33,2.75,2.76,1,17090000,269516,108.0
Beitou District,Land+Building,52.83,109,1,1,0,2.0,House,Strengthened Brickwork,62.0,72.54,2,1,1,0,No carpark,0.0,0,72.54,0.0,0.0,0,11200000,154398,62.0
Daan District,Land+Building,14.14,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,89.9,3,1,1,1,No carpark,0.0,0,68.33,0.0,9.58,1,25700000,285873,
Daan District,Land+Building+Garage,17.27,109,1,1,1,14.0,Apartment_11storeyorgreater,Steel Reinforced Concrete,91.0,120.12,2,1,1,1,Ramp Plane,28.0,0,47.02,0.0,5.42,1,21180000,176324,91.0
Daan District,Land+Building,27.33,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,,210.91,4,2,1,1,No carpark,0.0,0,167.41,0.0,21.01,1,67500000,320042,
Shilin District,Land+Building,521.18,109,1,1,0,2.0,House,Strengthened Brickwork,58.0,180.88,6,6,1,1,No carpark,0.0,0,180.88,0.0,0.0,0,55000000,304069,58.0
Shilin District,Land+Building+Garage,20.95,109,1,1,1,19.0,Apartment_11storeyorgreater,Steel Reinforced Concrete,108.0,146.94,0,0,0,1,Ramp Plane,42.23,3000000,60.64,4.57,3.93,1,33500000,291281,108.0
Nangang District,Land+Building+Garage,53.57,109,1,1,2,7.0,Apartment_5to10storey,Reinforced Concrete,98.0,231.63,4,3,1,1,Ramp Plane,0.0,0,105.43,0.0,15.94,1,38500000,166213,98.0
Songshan District,Land+Building,26.59,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,67.0,136.38,3,2,1,1,No carpark,0.0,0,116.48,0.0,10.34,1,28800000,211175,67.0
Songshan District,Building,0.0,109,1,0,0,4.0,Apartment_5storey,Reinforced Concrete,64.0,122.64,4,2,1,0,No carpark,0.0,0,122.64,0.0,0.0,0,4280000,34899,64.0
Songshan District,Land+Building,8.76,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,76.0,46.19,1,1,1,1,No carpark,0.0,0,22.3,0.0,5.01,1,11500000,248972,76.0
Neihu District,Land+Building+Garage,36.92,109,2,1,2,9.0,Apartment_5to10storey,Reinforced Concrete,86.0,193.79,5,2,1,1,Ramp Machinery,0.0,0,148.31,0.0,13.05,1,30000000,154807,86.0
Zhongshan District,Land+Building,7.44,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,97.0,49.84,1,1,1,1,No carpark,0.0,0,25.74,7.07,0.0,1,12200000,244783,97.0
Neihu District,Land+Building,25.83,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,70.0,103.76,3,1,1,0,No carpark,0.0,0,90.0,0.0,13.76,0,13200000,127217,70.0
Neihu District,Land+Building+Garage,13.16,109,1,1,1,9.0,Apartment_5to10storey,Reinforced Concrete,108.0,96.61,1,1,1,1,Tower,0.0,0,42.2,9.56,3.27,1,23280000,240969,108.0
Neihu District,Land+Building+Garage,8.57,109,1,1,1,9.0,Apartment_5to10storey,Reinforced Concrete,108.0,66.19,1,1,1,1,Tower,0.0,0,26.89,8.93,0.0,1,14800000,223565,108.0
Neihu District,Land+Building+Garage,46.57,109,1,1,2,14.0,Apartment_11storeyorgreater,Reinforced Concrete,88.0,248.71,4,2,1,1,Ramp Plane,0.0,0,115.42,10.48,10.55,1,51880000,208596,88.0
Neihu District,Land+Building,7.46,109,1,1,0,9.0,Apartment_5to10storey,Reinforced Concrete,85.0,51.78,1,1,1,0,No carpark,0.0,0,28.66,0.0,3.52,1,7500000,144844,85.0
Zhongshan District,Land+Building,10.33,109,1,1,0,8.0,Apartment_5to10storey,Reinforced Concrete,66.0,77.29,2,1,1,0,No carpark,0.0,0,73.0,0.0,4.29,1,15000000,194074,66.0
Zhongshan District,Land+Building,28.04,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,71.0,104.2,3,2,1,0,No carpark,0.0,0,92.8,0.0,11.4,0,15600000,149712,71.0
Zhongshan District,Land+Building,3.67,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,70.0,35.75,1,1,1,1,No carpark,0.0,0,25.17,0.0,0.0,1,5800000,162238,70.0
Zhongshan District,Land+Building+Garage,15.06,109,1,2,1,17.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,134.0,3,1,1,1,Ramp Plane,38.04,2300000,55.9,3.72,4.87,1,25600000,242810,108.0
